formula,compound,isotopeLabel,Sample,IonCount,fraction.all
C3H7NO3,serine,O18-label-2,col009b2_T2,9583.14,0.403238314
C3H7NO3,serine,O18-label-3,col009b2_T2,1161.35,0.048867158
C4H9NO3,threonine,C12 PARENT,col009b2_T2,19594.7,0.648551519
C4H9NO3,threonine,O18-label-1,col009b2_T2,8745.86,0.289473214
C4H9NO3,threonine,O18-label-2,col009b2_T2,1872.46,0.061975268
C11H12N2O2,tryptophan,C12 PARENT,col009b2_T2,11426.98,0.7640092
C11H12N2O2,tryptophan,O18-label-1,col009b2_T2,2506.64,0.167594239
C11H12N2O2,tryptophan,O18-label-2,col009b2_T2,1022.98,0.068396561
C9H11NO3,tyrosine,C12 PARENT,col009b2_T2,2459.29,1
C9H11NO3,tyrosine,O18-label-1,col009b2_T2,0,0
C9H11NO3,tyrosine,O18-label-2,col009b2_T2,0,0
C5H11NO2,valine,C12 PARENT,col009b2_T2,51637.13,0.511862051
C5H11NO2,valine,O18-label-1,col009b2_T2,43060.38,0.426843522
C5H11NO2,valine,O18-label-2,col009b2_T2,6183.44,0.061294427
C3H7NO2,alanine,C12 PARENT,col009b2_T3,204570.7,0.806585122
C3H7NO2,alanine,O18-label-1,col009b2_T3,26307.04,0.103723882
C3H7NO2,alanine,O18-label-2,col009b2_T3,22747.94,0.089690997
C6H14N4O2,arginine,C12 PARENT,col009b2_T3,18606.17,0.230192874
C6H14N4O2,arginine,O18-label-1,col009b2_T3,36042.87,0.445917232
C6H14N4O2,arginine,O18-label-2,col009b2_T3,26179.57,0.323889895
C4H8N2O3,asparagine,C12 PARENT,col009b2_T3,13901.35,0.275064609
C4H8N2O3,asparagine,O18-label-1,col009b2_T3,32313.75,0.639388909
C4H8N2O3,asparagine,O18-label-2,col009b2_T3,4323.39,0.085546482
C4H7NO4,aspartate,C12 PARENT,col009b2_T3,8861.33,0.149301312
C4H7NO4,aspartate,O18-label-1,col009b2_T3,10165.79,0.171279682
C4H7NO4,aspartate,O18-label-2,col009b2_T3,22247.1,0.374833262
C4H7NO4,aspartate,O18-label-3,col009b2_T3,11901.26,0.200519983
C4H7NO4,aspartate,O18-label-4,col009b2_T3,6176.51,0.104065761
C5H9NO4,glutamate,C12 PARENT,col009b2_T3,120976.7,0.116628334
C5H9NO4,glutamate,O18-label-1,col009b2_T3,315914.75,0.304559563
C5H9NO4,glutamate,O18-label-2,col009b2_T3,371540.94,0.358186335
C5H9NO4,glutamate,O18-label-3,col009b2_T3,152269.8,0.14679664
C5H9NO4,glutamate,O18-label-4,col009b2_T3,76581.77,0.073829128
C5H10N2O3,glutamine,C12 PARENT,col009b2_T3,667724.94,0.556858616
C5H10N2O3,glutamine,O18-label-1,col009b2_T3,358222.62,0.298744798
C5H10N2O3,glutamine,O18-label-2,col009b2_T3,163909.47,0.136694611
C5H10N2O3,glutamine,O18-label-3,col009b2_T3,9235.38,0.007701975
C2H5NO2,glycine,C12 PARENT,col009b2_T3,11588.01,0.270873081
C2H5NO2,glycine,O18-label-1,col009b2_T3,23591.72,0.55146327
C2H5NO2,glycine,O18-label-2,col009b2_T3,7600.49,0.177663649
C6H9N3O2,histidine,C12 PARENT,col009b2_T3,57232.1,0.570900201
C6H9N3O2,histidine,O18-label-1,col009b2_T3,36138.18,0.360484662
C6H9N3O2,histidine,O18-label-2,col009b2_T3,6878.59,0.068615138
C6H13NO2,isoleucine,C12 PARENT,col009b2_T3,103797.13,0.34851888
C6H13NO2,isoleucine,O18-label-1,col009b2_T3,143503.45,0.481840506
C6H13NO2,isoleucine,O18-label-2,col009b2_T3,50522.97,0.169640614
C6H14N2O2,lysine,C12 PARENT,col009b2_T3,6619.81,0.209951145
C6H14N2O2,lysine,O18-label-1,col009b2_T3,16877.91,0.535292786
C6H14N2O2,lysine,O18-label-2,col009b2_T3,8032.52,0.254756069
C5H11NO2S,methionine,C12 PARENT,col009b2_T3,5677.18,0.102424499
C5H11NO2S,methionine,O18-label-1,col009b2_T3,16165.47,0.291648347
C5H11NO2S,methionine,O18-label-2,col009b2_T3,33585.3,0.605927154
C9H11NO2,phenylalanine,C12 PARENT,col009b2_T3,280935.25,0.415439851
C9H11NO2,phenylalanine,O18-label-1,col009b2_T3,242325.84,0.358345244
C9H11NO2,phenylalanine,O18-label-2,col009b2_T3,152974.59,0.226214905
C5H9NO2,proline,C12 PARENT,col009b2_T3,242460.42,0.629637734
C5H9NO2,proline,O18-label-1,col009b2_T3,88322.07,0.229360767
C5H9NO2,proline,O18-label-2,col009b2_T3,54296.75,0.141001499
C3H7NO3,serine,C12 PARENT,col009b2_T3,3030.39,0.025039484
C3H7NO3,serine,O18-label-1,col009b2_T3,43512.52,0.359534924
C3H7NO3,serine,O18-label-2,col009b2_T3,65137.09,0.538214259
C3H7NO3,serine,O18-label-3,col009b2_T3,9344.46,0.077211334
C4H9NO3,threonine,C12 PARENT,col009b2_T3,29312.04,0.367308256
C4H9NO3,threonine,O18-label-1,col009b2_T3,40432.51,0.506658518
C4H9NO3,threonine,O18-label-2,col009b2_T3,10057.74,0.126033225
C11H12N2O2,tryptophan,C12 PARENT,col009b2_T3,77896.16,0.715653792
C11H12N2O2,tryptophan,O18-label-1,col009b2_T3,22701.11,0.208561442
C11H12N2O2,tryptophan,O18-label-2,col009b2_T3,8248.88,0.075784766
C9H11NO3,tyrosine,C12 PARENT,col009b2_T3,27059.69,0.47383826
C9H11NO3,tyrosine,O18-label-1,col009b2_T3,19475.18,0.341027019
C9H11NO3,tyrosine,O18-label-2,col009b2_T3,10572.57,0.185134722
C5H11NO2,valine,C12 PARENT,col009b2_T3,93539.28,0.327410314
C5H11NO2,valine,O18-label-1,col009b2_T3,149967.03,0.524921213
C5H11NO2,valine,O18-label-2,col009b2_T3,42188.05,0.147668473
C3H7NO2,alanine,C12 PARENT,col009b2_T4,195953.52,0.731455992
C3H7NO2,alanine,O18-label-1,col009b2_T4,40291.3,0.150399507
C3H7NO2,alanine,O18-label-2,col009b2_T4,31650.34,0.118144501
C6H14N4O2,arginine,C12 PARENT,col009b2_T4,13957.86,0.212335544
C6H14N4O2,arginine,O18-label-1,col009b2_T4,26705.33,0.406257892
C6H14N4O2,arginine,O18-label-2,col009b2_T4,25071.73,0.381406564
C4H8N2O3,asparagine,C12 PARENT,col009b2_T4,9935.33,0.201973316
C4H8N2O3,asparagine,O18-label-1,col009b2_T4,33612.87,0.683309244
C4H8N2O3,asparagine,O18-label-2,col009b2_T4,5643.1,0.11471744
C4H7NO4,aspartate,C12 PARENT,col009b2_T4,6565.94,0.059605318
C4H7NO4,aspartate,O18-label-1,col009b2_T4,12514.55,0.11360654
C4H7NO4,aspartate,O18-label-2,col009b2_T4,36566.54,0.331949459
C4H7NO4,aspartate,O18-label-3,col009b2_T4,32039.7,0.290855003
C4H7NO4,aspartate,O18-label-4,col009b2_T4,22470.22,0.20398368
C5H9NO4,glutamate,C12 PARENT,col009b2_T4,68671.72,0.064955165
C5H9NO4,glutamate,O18-label-1,col009b2_T4,227216.14,0.214919066
C5H9NO4,glutamate,O18-label-2,col009b2_T4,371327.81,0.351231326
C5H9NO4,glutamate,O18-label-3,col009b2_T4,238761.2,0.225839301
C5H9NO4,glutamate,O18-label-4,col009b2_T4,151240.36,0.143055141
C5H10N2O3,glutamine,C12 PARENT,col009b2_T4,377572.69,0.412202444
C5H10N2O3,glutamine,O18-label-1,col009b2_T4,322919.41,0.352536541
C5H10N2O3,glutamine,O18-label-2,col009b2_T4,189450.45,0.206826237
C5H10N2O3,glutamine,O18-label-3,col009b2_T4,26045.93,0.028434779
C2H5NO2,glycine,C12 PARENT,col009b2_T4,9802.05,0.252589467
C2H5NO2,glycine,O18-label-1,col009b2_T4,22168.3,0.571255919
C2H5NO2,glycine,O18-label-2,col009b2_T4,6835.9,0.176154614
C6H9N3O2,histidine,C12 PARENT,col009b2_T4,40510.9,0.460569541
C6H9N3O2,histidine,O18-label-1,col009b2_T4,37272.7,0.423754355
C6H9N3O2,histidine,O18-label-2,col009b2_T4,10174.67,0.115676104
C6H13NO2,isoleucine,C12 PARENT,col009b2_T4,106881.55,0.301254744
C6H13NO2,isoleucine,O18-label-1,col009b2_T4,179040.34,0.504640434
C6H13NO2,isoleucine,O18-label-2,col009b2_T4,68866.05,0.194104822
C6H14N2O2,lysine,C12 PARENT,col009b2_T4,5537.09,0.192693496
