"Name","AA","Total","Sample","C12 PARENT","O18-label-1","O18-label-2","O18-label-3","O18-label-4"
"Proline","P",2,"col009b_T5",0.191659988,0.3649913,0.443348712,NA,NA
"Proline","P",2,"col009b_T6",0.115072484,0.380277717,0.504649799,NA,NA
"Proline","P",2,"col009b_T7",0.082233695,0.397280842,0.520485463,NA,NA
"Proline","P",2,"col009b_T8",0.080827091,0.415911695,0.503261214,NA,NA
"Serine","S",3,"col009b_T0",0.995850467,0.003176233,0.000973,0,NA
"Serine","S",3,"col009b_T1",0.187860686,0.608388461,0.183286949,0.020463904,NA
"Serine","S",3,"col009b_T2",0.095987489,0.407740732,0.348909333,0.147362446,NA
"Serine","S",3,"col009b_T3",0.059977163,0.290112855,0.41246278,0.237447203,NA
"Serine","S",3,"col009b_T4",0.044103721,0.212035912,0.450128782,0.293731585,NA
"Serine","S",3,"col009b_T5",0.042146182,0.198133997,0.460751139,0.298968682,NA
"Serine","S",3,"col009b_T6",0.038406721,0.183746207,0.495509263,0.282337809,NA
"Serine","S",3,"col009b_T7",0.027840538,0.215160678,0.491157641,0.265841143,NA
"Serine","S",3,"col009b_T8",0.04404356,0.213432051,0.477089411,0.265434979,NA
"Threonine","T",2,"col009b_T0",0.997312541,0.002687459,0,NA,NA
"Threonine","T",2,"col009b_T1",0.803034456,0.162035973,0.034929571,NA,NA
"Threonine","T",2,"col009b_T2",0.594782026,0.322143111,0.083074863,NA,NA
"Threonine","T",2,"col009b_T3",0.413004594,0.477883793,0.109111613,NA,NA
"Threonine","T",2,"col009b_T4",0.30229083,0.499120758,0.198588412,NA,NA
"Threonine","T",2,"col009b_T5",0.189770471,0.536867951,0.273361578,NA,NA
"Threonine","T",2,"col009b_T6",0.112772755,0.563592323,0.323634923,NA,NA
"Threonine","T",2,"col009b_T7",0.090871832,0.533022082,0.376106087,NA,NA
"Threonine","T",2,"col009b_T8",0.093384898,0.510647038,0.395968063,NA,NA
"Tryptophan","W",2,"col009b_T0",0.982928442,0.017071558,0,NA,NA
"Tryptophan","W",2,"col009b_T1",0.891944662,0.081820531,0.026234807,NA,NA
"Tryptophan","W",2,"col009b_T2",0.877919479,0.094313617,0.027766904,NA,NA
"Tryptophan","W",2,"col009b_T3",0.888629354,0.073086298,0.038284348,NA,NA
"Tryptophan","W",2,"col009b_T4",0.851553698,0.089613503,0.058832799,NA,NA
"Tryptophan","W",2,"col009b_T5",0.83937482,0.11757781,0.04304737,NA,NA
"Tryptophan","W",2,"col009b_T6",0.612290891,0.253975458,0.133733651,NA,NA
"Tryptophan","W",2,"col009b_T7",0.453171984,0.303074863,0.243753154,NA,NA
"Tryptophan","W",2,"col009b_T8",0.31872071,0.364500865,0.316778425,NA,NA
"Valine","V",2,"col009b_T0",0.998165354,0.001834646,0,NA,NA
"Valine","V",2,"col009b_T1",0.800169968,0.175603286,0.024226746,NA,NA
"Valine","V",2,"col009b_T2",0.623723519,0.308367229,0.067909251,NA,NA
"Valine","V",2,"col009b_T3",0.491287113,0.389405183,0.119307705,NA,NA
"Valine","V",2,"col009b_T4",0.355989132,0.446767952,0.197242916,NA,NA
"Valine","V",2,"col009b_T5",0.260823279,0.447710968,0.291465753,NA,NA
"Valine","V",2,"col009b_T6",0.260553987,0.436845354,0.302600659,NA,NA
"Valine","V",2,"col009b_T7",0.230026148,0.458347834,0.311626017,NA,NA
"Valine","V",2,"col009b_T8",0.223581155,0.453230122,0.323188723,NA,NA
"Median","X",2,"col009b_T0",0.997683705359892,0.00231629464010809,0,NA,NA
"Median","U",3,"col009b_T0",0.99629683993008,0.00310215957169028,0.000235000194815162,0.000366000303414252,NA
"Median","Z",4,"col009b_T0",0.985134541682996,0.00556939855540103,0.000444650084261191,0.00863690963669438,0.000214500040647758
"Median","X",2,"col009b_T1",0.752617286980136,0.179465501134314,0.0679172118855508,NA,NA
"Median","U",3,"col009b_T1",0.82845970782846,0.139551910139552,0.0308047190308047,0.00118366300118366,NA
"Median","Z",4,"col009b_T1",0.659017926829509,0.143061238071531,0.166588568083294,0.0174243705087122,0.0139078965069539
"Median","X",2,"col009b_T2",0.592601142197424,0.266123733513691,0.141275124288885,NA,NA
"Median","U",3,"col009b_T2",0.632395988632396,0.280755472280755,0.0740852680740853,0.0127632710127633,NA
"Median","Z",4,"col009b_T2",0.3528538895,0.1771994955,0.3006709605,0.080144216,0.0891314385
"Median","X",2,"col009b_T3",0.488674228101179,0.343783303201552,0.16754246869727,NA,NA
"Median","U",3,"col009b_T3",0.476104751,0.361849363,0.120258696,0.04178719,NA
"Median","Z",4,"col009b_T3",0.176357060588179,0.155894647077947,0.337175624168588,0.148246799574123,0.182325868591163
"Median","X",2,"col009b_T4",0.393681564313703,0.376652170905872,0.229666264780425,NA,NA
"Median","U",3,"col009b_T4",0.307807863,0.400326837,0.182045513,0.109819787,NA
"Median","Z",4,"col009b_T4",0.0495147475247574,0.0960302705480151,0.285742798142871,0.234541022117271,0.334171161667086
"Median","X",2,"col009b_T5",0.354243817220746,0.37391903787588,0.271837144903374,NA,NA
"Median","U",3,"col009b_T5",0.15846291,0.348818998,0.272058604,0.220659488,NA
"Median","Z",4,"col009b_T5",0.0198229185,0.0399650735,0.1442771295,0.298135824,0.4977990545
"Median","X",2,"col009b_T6",0.257065277513413,0.403252452793903,0.339682269692684,NA,NA
"Median","U",3,"col009b_T6",0.081538706,0.275169934,0.331502869,0.311788491,NA
"Median","Z",4,"col009b_T6",0.0163057325,0.0341563845,0.0948430195,0.323718079,0.5309767845
"Median","X",2,"col009b_T7",0.18864309762341,0.391046241852341,0.420310660524249,NA,NA
"Median","U",3,"col009b_T7",0.037725198,0.203946991,0.387580693,0.370747118,NA
"Median","Z",4,"col009b_T7",0.026252006,0.034044458,0.0888512145,0.3388701415,0.51198218
"Median","X",2,"col009b_T8",0.15800787414737,0.400732091680956,0.441260034171674,NA,NA
"Median","U",3,"col009b_T8",0.031501282,0.189702967,0.398237878,0.380557873,NA
"Median","Z",4,"col009b_T8",0.0240988225120494,0.0316513200158257,0.0951357135475678,0.336290935668145,0.512823208256412
