"Protein_ID","XLA_Gene","Human_Gene","kD","HL_Hrs","Estimate","T9_kD","T10_kD","deltaBIC","T0_L","N2","N4","N6","N8","N10","N11","T0_H","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11","mClass","Number_Pep_Fits"
"XBmRNA42267|XBXL10_1g22676"," nvl.L","NVL",5.98447848004472e-05,146.95,"interval",5.41670534721782e-05,6.55225161287163e-05,1.08334854477673,0.61550890646368,0.594751906697635,0.653313814808102,0.734721174093726,1.00552968008336,1.57542332820609,1.82075118964741,1.05668228644142,1.1127741090202,1.12637945786898,0.997902088256451,0.991347732856821,1.04967080584269,0.970732432825504,0.927161095334808,0.938764336835264,0.973276409211823,0.914627346057278,0.940681899448765,"Flat",9
"XBmRNA5091|XBXL10_1g2856"," gpn3.L","GPN3",5.98145294191303e-05,146.95,"interval",5.28043723427745e-05,6.68246864954861e-05,-2.55657321749513,0.965573275783525,0.957268132063688,0.940120093825864,0.982247218558279,0.87132371254191,1.07762323805778,1.20584432916896,1.13944443064674,1.03842828863875,1.20032842340797,1.02845271472656,1.05743309420948,0.957067840110927,0.945305347195461,0.849253954975737,0.964066445447924,0.96470037898862,0.928330836901247,0.9271882447506,"Flat",7
"XBmRNA22949|XBXL10_1g12277"," kif3a.L","KIF3A",5.97129573495758e-05,146.95,"interval",5.21147600878346e-05,6.7311154611317e-05,3.55490852507358,1.0026261679935,0.975828992918851,1.0733995919561,0.972188361954678,1.03269968866983,0.93620741211732,1.00704978438972,1.04044661014756,1.11090200578302,1.02700286528336,1.06961721167051,1.00819759998664,1.07223496992241,1.06123112831845,1.05115230334548,0.878688195212975,0.964555336416795,0.818829308862643,0.897142465050162,"Deg",5
"XBmRNA18126|XBXL10_1g9703"," snrpc.S","SNRPC",5.96928057108081e-05,146.95,"interval",8.23892851257134e-05,3.69963262959028e-05,-4.21774656441129,0.510789264056155,0.577672518968762,0.664814414435155,0.99187241140572,0.81425644305218,1.72983286043143,1.7107620876506,1.01889900785015,1.03568114988535,1.02625665861769,0.936299931676065,1.14123292087763,1.07622726770224,1.10808603523672,1.08588139205048,1.00239656560488,0.983256138819392,0.688658097248586,0.897124834430825,"Flat",4
"XBmRNA13111|XBXL10_1g7003"," synrg.L","SYNRG",5.96908823981974e-05,146.95,"interval",5.95214749984655e-05,5.98602897979294e-05,0.177263552545469,0.925234662128359,0.865952999934059,0.992147534071107,0.910613492894154,0.819097278187831,1.18136811481019,1.3055859179743,1.06987659385302,1.05233575761877,1.11678310812473,1.12185583156761,1.02721147113672,1.00963606961888,0.895486557218426,1.00749215577897,0.894755418279837,0.990151140558392,0.866049485630341,0.94836641061431,"Flat",2
"XBmRNA51815|XBXL10_1g27608"," dsp.L","DSP",5.96417696582191e-05,146.95,"interval",5.29705555781392e-05,6.6312983738299e-05,7.07880394013286,0.195944494250266,0.200837350237536,0.252059251417896,0.542519655089501,1.18711356773142,2.11815975989347,2.50336592137991,1.08120288591663,0.99605570022018,1.05694535904764,1.05173238872586,1.05115396017432,1.08966610635963,1.00550106879432,0.974789751753885,1.01145831543755,0.972873266092988,0.877920997896478,0.830700199580518,"Deg",56
"XBmRNA74800|XBXL10_1g39760"," utp18.L","UTP18",5.96414237678538e-05,146.95,"interval",4.93104538492115e-05,6.99723936864961e-05,-3.56515582260957,0.387937430858332,0.3946634827705,0.420267920392213,0.555009441207373,0.996800423720339,1.92511211965561,2.32020918139563,1.04741225022648,1.01105495090667,1.14206582009217,1.19567949241959,1.07600155752747,0.95681637953631,0.895261672247409,0.910818786321326,0.986701743690848,0.896008250398507,1.00763776626909,0.874541330364129,"Flat",7
"XBmRNA27097|XBXL10_1g14382"," vamp2.L","VAMP2",5.95782766059155e-05,146.95,"interval",4.98552108843826e-05,6.93013423274485e-05,2.94945766238629,1.00857407263037,1.04759610558942,0.959639355057331,1.02692156835554,0.985457677722054,0.986046476773861,0.985764743871432,1.02434458569332,1.04010313545182,1.09119435108306,1.10203628780994,1.06880412099391,0.994808573974628,0.950880830378605,1.05833190742483,0.956422728250425,0.988141040913595,0.836733020899554,0.888199417126316,"Deg",2
"XBmRNA79131|XBXL10_1g42087"," adprh","ADPRH",5.95739257290979e-05,146.95,"interval",0.000118147851458196,1e-06,-8.9400006429757,0.841540990006499,0.790569719178334,0.728359808297445,0.784896716554911,1.80825946595642,1.08174099652986,0.964632303476536,1.04571518609047,1.18085139166515,1.05579868596095,1.01229292202589,0.937741723022595,1.00770865299804,1.04585759147617,0.863083267300082,0.934367954946111,0.987092050309227,0.804719455368962,1.12477111883636,"Flat",4
"XBmRNA41095|XBXL10_1g22106"," pfkfb4.S","PFKFB4",5.94810652848729e-05,146.95,"interval",4.8509073584199e-05,7.04530569855469e-05,-11.3647512744071,0.308365868429306,0.313467804757795,0.434272710477618,0.609848682075465,0.971837564938484,1.91799006706328,2.44421730225805,1.0704790139574,1.0156116655331,1.09788638160902,1.02923703109577,1.01632411810106,1.00451907112557,0.930923540201448,0.832631319549827,1.00674125244911,1.0624939390513,1.01272687645114,0.920425790875255,"Flat",8
