"Protein_ID","Gene_Symbol","kD","HL_Hrs","Estimate","T6_kD","T7_kD","deltaBIC","T0_L","N13","N14","N15","N16","T0_H","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11","O12","mClass"
"Q7JY33","rnh1",0.000732313664121183,15.7752798770948,"interval",0.000728741829780347,0.000735885498462018,26.6424631343096,1.18387980212086,1.20850868745201,1.0492026077706,0.833418446600943,0.724990456055579,1.25115859854011,1.2383269854707,1.32166651304158,1.26465257272825,1.18254163668673,1.10395819197099,1.06360889167351,0.990091275735183,0.848480939959766,0.798406369265507,0.742378314431023,0.653554429755342,0.541175280741313,"Deg"
"Q4QQ70","CG15602",0.000732100057318367,15.7798826729345,"point",NA,0.000732100057318367,25.9348969212147,0.777116783000718,0.756760219610585,0.837369114639432,1.25843218293077,1.3703216998185,1.25247607492387,1.17020707184602,1.3123567829098,1.12706088225933,1.27013794164923,1.21291723636164,1.03237101181206,1.07162432760377,0.92810436910274,0.763823913290513,0.789462154180711,0.582457962975955,0.487000271084362,"Deg"
"P81928","140up",0.000732037766761798,15.7812254146876,"interval",0.000717878566049845,0.00074619696747375,18.2888860388904,1.16857700408982,1.05147442731742,1.02669771667447,0.869380646787021,0.883870205131267,1.20949454882843,1.19258485641391,1.33056881775835,1.27514298883456,1.18865639032437,1.21022066888908,1.10568332715897,0.893304965078531,0.777801344803968,0.844829593596537,0.709489574278239,0.680414768186788,0.581808155848268,"Deg"
"Q9VWT7","CG15043",0.000731767728819704,15.7870490243753,"point",0.000731767728819704,NA,-9.90458595464308,0.179812944141381,0.236763807372825,0.0808149359505154,0.434454359390927,4.06815395314435,1.12916246057321,0.852541883371689,0.660583665265988,0.31530937638604,0.530472548392631,0.380968845077448,6.87075522465573,0.44530474862887,0.16339998678869,0.452533693284126,0.418815971425313,0.427933385926008,0.352218210224262,"Flat"
"Q9V461","Mcm6",0.00073168159816965,15.7889074130491,"interval",0.000717333243628721,0.000746029952710579,23.2704487482,1.15504467364713,1.08666050777288,1.15233951817978,0.935687237549303,0.670268062850909,1.22440689963764,1.11086196865897,1.15882206284481,1.28272169327157,1.23465972260239,1.19271770150161,1.17672070955281,0.989450287627072,0.870693042494381,0.823135507730151,0.720527018176158,0.661686087369042,0.553597298533405,"Deg"
"Q9V3L6","Cbp20",0.000731232317598729,15.7986083646702,"interval",0.000726342897333882,0.000736121737863575,9.37321115572131,1.12700645608289,0.948908637555493,1.03467468134113,1.053460152437,0.835950072583486,1.24946309305601,1.04995922007865,1.17937502568015,1.32879316831546,1.35139262063614,1.18878376192268,1.20413981894862,0.876527751807116,0.75073089575745,0.778186366794024,0.742646477345719,0.71726017327529,0.582741626382694,"Deg"
"Q7K204","barc",0.00073099494028045,15.8037386755376,"interval",0.000747776583040176,0.000714213297520723,28.9423484014926,1.16773826854845,1.08229746053532,1.11726333423899,0.924974329427444,0.707726607249796,1.2612065462588,1.16296266203437,1.22734450958162,1.24741839742684,1.23149736878185,1.21194629615149,1.14898625948546,1.02439621409364,0.880518290055179,0.814429590789381,0.693423525568542,0.600852855604743,0.495017484168095,"Deg"
"Q9VBI0","CG14543",0.000730943352496926,15.8048540558839,"interval",0.000728272115389627,0.000733614589604225,27.446887723734,1.12601976872133,0.964549620658058,1.06055352174268,0.902157766089189,0.946719322788738,1.32688797148285,1.18313153462001,1.22616206578419,1.26087738803523,1.18078845272643,0.995406413908375,1.10758434172141,1.04639341832289,0.928881496558765,0.805508219600204,0.704787913527922,0.679682886617909,0.553907897093816,"Deg"
"Q9V420","Su(P)",0.000730734209598763,15.8093775514845,"interval",0.000591533962700794,0.000869934456496732,12.1197069059186,1.20753359796808,1.03900672177949,1.00220622794148,0.914860238035602,0.836393214275354,1.31600809398114,1.06985636975346,1.2022178156455,1.21204242718489,1.26714968776172,1.08966742601785,1.13942969220603,0.921446098485177,0.780214301087083,0.841446110871939,0.799369400917283,0.736222214141655,0.624930361946275,"Deg"
"Q9W3V9","Nf-YC",0.000730298712244418,15.8188051213022,"interval",0.000757578200391045,0.000703019224097792,16.6213721141447,1.01194547117197,1.02506424600779,1.17058996336516,0.983856050948999,0.808544268506078,1.15220662343032,1.04133762569406,1.25548107403249,1.38750824638265,1.27731724524119,1.16369013337318,1.06244647756214,1.02880151423061,0.858306749625556,0.802767680098205,0.771023963516957,0.631279792138852,0.567832874673794,"Deg"
"Q9VSR3","orb2",0.000729960320448385,15.8261383334319,"point",NA,0.000729960320448385,6.96335190460388,0.374411085521962,0.4788319751112,0.68292222985675,1.01715273275025,2.44668197675984,1.00937110774714,1.34128772330162,1.42689531125906,1.20631717064307,1.05974243537449,1.43158005841236,1.05891921375066,0.877182857482858,0.848252577253542,0.918759154904391,0.725886918276102,0.582413086391682,0.513392385203026,"Deg"
"Q9W102","Orc4",0.000729804860093249,15.829509559386,"interval",0.000722915865881156,0.000736693854305342,23.6709506145681,1.26756035852768,1.14777108722354,1.16102008565519,0.840560976178023,0.583087492415563,1.2352257062425,1.17784154438715,1.21253555720022,1.21540505895867,1.2386190400162,1.21295866500803,1.21810820947623,0.944897585311094,0.854056203607667,0.824117545901476,0.73206795592638,0.613613581769108,0.520553346195282,"Deg"
"Q8MMD0","CG30423",0.000729566804451483,15.8346746848193,"point",0.000729566804451483,NA,11.653031866056,0.645048144081813,0.773865407865238,0.907497133710262,1.14724597038093,1.52634334396176,1.05740188993331,1.18577541253186,1.42086512823013,1.18375473713209,1.07906557437274,1.1719017697372,1.14780421030866,1.02781258829871,0.80392964923823,1.03372020162726,0.825109791786404,0.601811445618333,0.461047601185089,"Deg"
"Q9VW45","Fibp",0.000729516136032918,15.8357744794436,"interval",0.000703913668669612,0.000755118603396224,21.2308545133181,1.07147403860804,0.948330068040567,0.9154055020711,0.96024177140971,1.10454861987058,1.26573092127532,1.19768386013351,1.23671770342378,1.17357367494459,1.23237394703768,1.17001651588497,1.09300412492394,0.918842031256963,0.848969180493546,0.808063136940471,0.752569437551008,0.718597648418132,0.583857817716076,"Deg"
